iter	Logloss
0	0.6872742833
1	0.6808738687
2	0.6758450739
3	0.6709178221
4	0.6672108768
5	0.6647356967
6	0.6629515218
7	0.6606872446
8	0.6586336991
9	0.6538741479
10	0.6485798387
11	0.6429282058
12	0.6382130159
13	0.6331212766
14	0.6290277399
15	0.6250058195
16	0.6223130785
17	0.6183304753
18	0.6150135921
19	0.6115155038
20	0.6102612607
21	0.6073101356
22	0.6052617865
23	0.6012415442
24	0.5991047679
25	0.5961158844
26	0.592798941
27	0.5874423098
28	0.5864475509
29	0.5828542485
30	0.5817805706
31	0.5785574197
32	0.5777929141
33	0.5766690796
34	0.5759573899
35	0.5736784428
36	0.5718174376
37	0.5709195623
38	0.5679796698
39	0.5664586458
40	0.564676895
41	0.5629480462
42	0.5616358899
43	0.5586707649
44	0.5574973017
45	0.5552497937
46	0.5544489571
47	0.5527830753
48	0.5522221061
49	0.5515175774
50	0.5501540289
51	0.5484302281
52	0.54721405
53	0.5452212426
54	0.5426250422
55	0.541206969
56	0.5374760568
57	0.5361631599
58	0.5354636072
59	0.5338954491
60	0.5331310674
61	0.5320489297
62	0.5298629107
63	0.5280227806
64	0.5267756759
65	0.5259122234
66	0.5247233733
67	0.5235871514
68	0.5213506791
69	0.5193360155
70	0.5179199146
71	0.516760095
72	0.5156116823
73	0.5143319394
74	0.5123742694
75	0.5114466876
76	0.51023443
77	0.5094251415
78	0.5085038738
79	0.5074906956
80	0.5068369881
81	0.5058149245
82	0.5050745511
83	0.5039825048
84	0.5034560576
85	0.5021737368
86	0.5013465691
87	0.5000747893
88	0.4993893018
89	0.4985022931
90	0.4976146165
91	0.4968806218
92	0.4965323206
93	0.4951802671
94	0.4942850466
95	0.4934718918
96	0.4925444051
97	0.4910516544
98	0.4898903064
99	0.4892561116
100	0.4879182011
101	0.4872937863
102	0.4865208319
103	0.4848085199
104	0.4839340931
105	0.4836440979
106	0.4827265152
107	0.4819168537
108	0.4811665973
109	0.4796051179
110	0.4790246656
111	0.4778704007
112	0.4769390895
113	0.4755237942
114	0.4743744453
115	0.4732804362
116	0.4724459581
117	0.4717117048
118	0.471088447
119	0.4707211618
120	0.4700122138
121	0.4692768055
122	0.468791281
123	0.4677397058
124	0.467154643
125	0.4665733746
126	0.4660365031
127	0.4654629486
128	0.4650409184
129	0.4639167636
130	0.4631232089
131	0.4621701062
132	0.4614847647
133	0.4611518315
134	0.4606768689
135	0.4600499413
136	0.4589548339
137	0.4581598445
138	0.4575409575
139	0.4568912804
140	0.455604716
141	0.4550041637
142	0.4538955275
143	0.4532372688
144	0.4525434449
145	0.4519552785
146	0.4513133612
147	0.4505150486
148	0.450043646
149	0.4495795056
150	0.4488130685
151	0.4482594395
152	0.4477557467
153	0.4472114182
154	0.4466880884
155	0.4461301655
156	0.4457255725
157	0.4454186153
158	0.4451216951
159	0.4447051653
160	0.4438050474
161	0.4432572473
162	0.4426390652
163	0.4420804951
164	0.4412664387
165	0.4406443898
166	0.4402657741
167	0.4397265852
168	0.4392674428
169	0.438790756
170	0.4381980244
171	0.4375400008
172	0.4348897139
173	0.4346649862
174	0.4339233805
175	0.432974936
176	0.432456887
177	0.4320358153
178	0.4315531484
179	0.4313081481
180	0.4310282752
181	0.4300072804
182	0.429754512
183	0.4293183062
184	0.4284291301
185	0.4266843397
186	0.4259928298
187	0.4239135601
188	0.4234659687
189	0.4229453614
190	0.4222127099
191	0.421439386
192	0.4210159431
193	0.4204872835
194	0.4189224858
195	0.4186395338
196	0.4181600914
197	0.4177887854
198	0.4174724922
199	0.4171591715
200	0.415855235
201	0.4154823313
202	0.4152450883
203	0.4148192723
204	0.4145769416
205	0.4142591459
206	0.4134924582
207	0.4130548377
208	0.4122792809
209	0.4121171216
210	0.4115473092
211	0.4112232057
212	0.4107698262
213	0.410380306
214	0.4099962138
215	0.4094952218
216	0.4087275484
217	0.4084074897
218	0.4080864385
219	0.4075803221
220	0.4072281004
221	0.4068143012
222	0.4064074012
223	0.4059996309
224	0.4054521574
225	0.4047998756
226	0.4045847026
227	0.4042191386
228	0.4039255068
229	0.4034862103
230	0.403240808
231	0.4026725844
232	0.4020505847
233	0.4015629753
234	0.4011221547
235	0.4004386895
236	0.3998265749
237	0.3993229593
238	0.3991413566
239	0.3987275584
240	0.398372886
241	0.3982776351
242	0.3979231032
243	0.3975492427
244	0.3970863413
245	0.3968041185
246	0.3962931673
247	0.3958621676
248	0.3955458303
249	0.3953488511
250	0.3948677176
251	0.3943494618
252	0.3936822768
253	0.3930915222
254	0.3926275947
255	0.392317231
256	0.3915446941
257	0.3912873748
258	0.3908463445
259	0.3905503867
260	0.3900434552
261	0.3897033245
262	0.3893232835
263	0.3889161439
264	0.3885475914
265	0.3882779484
266	0.3878236152
267	0.3872092814
268	0.3868415828
269	0.3865851233
270	0.3860063412
271	0.3852499763
272	0.3848807146
273	0.3842897216
274	0.3839332278
275	0.3836196611
276	0.3833456433
277	0.3828705458
278	0.3825513913
279	0.3818325699
280	0.3814998865
281	0.3811754957
282	0.379827258
283	0.3794578138
284	0.3789418907
285	0.3785398501
286	0.3779876716
287	0.3775711687
288	0.3771626169
289	0.3766597233
290	0.3762364789
291	0.3758654888
292	0.3755769018
293	0.3750724657
294	0.3746549885
295	0.3743991328
296	0.3736827809
297	0.3733159
298	0.3729431533
299	0.3726790904
300	0.3721850342
301	0.3716993856
302	0.3712694795
303	0.370704829
304	0.3704432857
305	0.3700597438
306	0.3696474301
307	0.3690791249
308	0.3687391843
309	0.3683128027
310	0.3679094963
311	0.3673498433
312	0.36702211
313	0.3666353186
314	0.3662197585
