iter	Passed	Remaining
0	1	591
1	2	473
2	3	424
3	4	392
4	5	365
5	5	341
6	6	320
7	7	323
8	8	322
9	9	317
10	10	326
11	11	326
12	12	326
13	13	322
14	14	313
15	14	307
16	15	303
17	16	302
18	17	297
19	18	308
20	19	306
21	20	303
22	20	297
23	21	294
24	22	289
25	23	297
26	24	296
27	25	296
28	26	293
29	27	290
30	28	295
31	29	291
32	29	287
33	30	283
34	31	280
35	31	277
36	32	273
37	33	276
38	34	274
39	35	273
40	35	270
41	36	269
42	38	272
43	38	269
44	39	269
45	40	267
46	41	266
47	42	264
48	42	262
49	43	260
50	44	261
51	45	259
52	45	256
53	46	257
54	47	256
55	48	254
56	49	252
57	50	256
58	52	258
59	52	255
60	54	257
61	55	255
62	55	254
63	56	254
64	57	252
65	58	250
66	58	248
67	59	247
68	60	246
69	61	245
70	62	244
71	63	244
72	64	242
73	64	241
74	65	240
75	66	238
76	66	237
77	67	235
78	68	234
79	69	232
80	69	231
81	70	230
82	71	230
83	72	230
84	73	229
85	74	228
86	75	227
87	76	227
88	77	227
89	78	226
90	78	224
91	80	224
92	81	224
93	81	222
94	82	221
95	83	220
96	84	220
97	85	220
98	86	219
99	87	218
100	88	219
101	90	220
102	91	220
103	92	219
104	93	219
105	94	218
106	95	217
107	96	216
108	97	215
109	98	214
110	99	214
111	100	213
112	101	211
113	101	210
114	102	209
115	102	207
116	103	206
117	105	206
118	105	205
119	107	205
120	107	203
121	108	202
122	109	201
123	109	200
124	110	198
125	110	197
126	111	195
127	112	194
128	112	193
129	113	192
130	114	190
131	114	189
132	115	188
133	115	186
134	116	185
135	117	184
136	117	182
137	118	181
138	118	180
139	120	180
140	120	179
141	121	177
142	122	176
143	122	175
144	123	174
145	123	173
146	124	171
147	125	170
148	125	169
149	126	168
150	128	168
151	128	167
152	129	166
153	129	165
154	130	164
155	130	162
156	131	161
157	132	160
158	132	159
159	133	158
160	133	157
161	134	156
162	135	155
163	136	154
164	137	154
165	138	153
166	138	152
167	139	151
168	140	150
169	140	149
170	141	147
171	141	146
172	142	145
173	143	145
174	144	144
175	145	143
176	145	142
177	146	141
178	146	140
179	147	139
180	148	138
181	149	137
182	149	136
183	150	135
184	151	134
185	152	134
186	153	133
187	153	132
188	154	131
189	154	130
190	155	129
191	156	128
192	157	127
193	157	126
194	158	125
195	159	124
196	159	124
197	160	123
198	161	122
199	162	121
200	162	120
201	163	119
202	164	118
203	164	117
204	165	117
205	167	117
206	168	116
207	169	115
208	170	114
209	170	113
210	171	113
211	172	112
212	173	111
213	174	110
214	174	109
215	175	108
216	176	108
217	177	107
218	177	106
219	178	105
220	179	104
221	179	103
222	180	102
223	181	101
224	181	100
225	182	100
226	183	99
227	183	98
228	184	97
229	185	96
230	186	95
231	186	94
232	187	94
233	188	93
234	188	92
235	189	91
236	190	90
237	191	90
238	192	89
239	193	88
240	194	87
241	195	87
242	195	86
243	196	85
244	197	84
245	198	83
246	199	83
247	199	82
248	200	81
249	201	80
250	202	79
251	202	78
252	203	77
253	203	77
254	204	76
255	204	75
256	205	74
257	206	73
258	206	72
259	207	71
260	208	70
261	208	70
262	209	69
263	209	68
264	210	67
265	211	66
266	211	65
267	212	64
268	212	64
269	213	63
270	214	62
271	215	61
272	215	60
273	216	60
274	217	59
275	217	58
276	218	57
277	218	56
278	219	55
279	220	55
280	220	54
281	221	53
282	222	52
283	222	51
284	223	50
285	223	50
286	224	49
287	224	48
288	225	47
289	226	46
290	227	46
291	228	45
292	228	44
293	229	43
294	230	42
295	231	42
296	231	41
297	232	40
298	232	39
299	233	38
300	234	38
301	234	37
302	235	36
303	235	35
304	236	34
305	237	34
306	237	33
307	238	32
308	238	31
309	239	30
310	240	30
311	240	29
312	241	28
313	241	27
314	242	26
315	243	26
316	243	25
317	244	24
318	245	23
319	245	23
320	246	22
321	246	21
322	247	20
323	248	19
324	248	19
325	249	18
326	250	17
327	250	16
328	251	16
329	252	15
330	253	14
331	253	13
332	254	12
333	255	12
334	255	11
335	256	10
336	257	9
337	257	9
338	258	8
339	259	7
340	259	6
341	260	6
342	261	5
343	261	4
344	262	3
345	263	3
346	263	2
347	264	1
348	265	0
349	265	0
